"","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases"
"Lao People's Democratic Republic","17","16","19","","18","11","6","7","8","5","15","8","12","14","17","16","17","21","18","17","12","17","6","10","5","12","20","4","","0","","","","","","","","","","","","","",""
"Latvia","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Lebanon","1","0","0","","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","4","3","3","0","0","","","","","","0","0","","","","","","","","","","",""
"Lesotho","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","","0","","","","0","0","0","0","0","1","0","0","0","0","1","1","3","10","0","","","","","","",""
"Liberia","22","6","2","0","0","12","3","4","4","8","13","22","13","1","40","21","43","152","174","166","84","74","24","59","119","38","","","","","","","","","","","","207","","","","","",""
"Libya","","","","","","0","","","0","0","0","0","0","","","0","0","","","0","0","0","","0","0","3","3","1","7","10","10","8","15","0","10","","","","","","","","",""
"Lithuania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Luxembourg","0","0","0","","","","","","0","0","0","0","","0","0","","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madagascar","17","27","13","7","8","9","43","6","6","8","10","5","34","7","6","6","18","13","26","39","46","61","7","6","20","17","32","208","183","234","","","","","","","","","","","","","",""
"Malawi","3","2","2","1","7","1","8","4","7","5","7","6","6","11","7","7","15","12","6","1","8","1","6","14","37","84","","211","","","196","327","391","274","405","358","395","163","","","","","",""
"Malaysia","16","6","16","8","6","9","3","10","5","13","14","11","6","14","8","4","8","20","10","13","11","9","12","9","20","28","13","11","21","15","40","51","49","64","36","47","38","60","53","80","86","76","108","171"
"Maldives","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","","","0","0","0","0","4","1","3","1","","56","0","0","0","0","0","0","0","0","","","","","","",""
"Mali","7","8","8","13","12","10","11","7","13","6","19","17","20","25","37","37","34","73","29","31","9","37","33","28","40","73","171","203","230","","","","455","","","","","","","","","","",""
"Malta","0","0","0","0","","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marshall Islands","","","","","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","3","2","2","6","","0","","1","1","2","0","0","","2","4","4","8","","9","11","1","","1","1","0","6","26","16","20","34","44","120","99","58","","","","","","","","","",""
"Mauritius","0","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","7","2","4","","","","","",""
"Mexico","1","2","0","1","0","0","1","3","0","1","4","4","1","4","4","0","6","9","7","25","44","64","67","83","98","137","152","145","87","108","84","57","0","0","0","0","0","0","0","0","","","",""
